Cla,Driver,km/h
1,Max Verstappen,209.319
2,Charles Leclerc,208.971
3,Sergio Perez,208.919
4,Carlos Sainz,208.334
5,George Russell,207.902
6,Lando Norris,207.107
7,Esteban Ocon,207.068
8,Lance Stroll,206.305
9,Daniel Ricciardo,206.061
10,Sebastian Vettel,206.036
11,Yuki Tsunoda,205.826
12,Zhou Guanyu,204.967
13,Alex Albon,204.933
14,Pierre Gasly,204.909
15,Valtteri Bottas,204.555
16,Mick Schumacher,204.001
17,Kevin Magnussen,203.746
18,Lewis Hamilton,206.689
19,Nicholas Latifi,201.159
,Fernando Alonso,204.053
